GeneID	Annotation	wt	mutant#1	mutant#2	mutant#3
Zt72999	px domain-containing | Zt72999	43.21	42.19	58.74	41.92
Zt73004	histone H4 | Zt73004	847.11	1625.78	875.97	1237.94
Zt73025	hypothetical protein MYCGRDRAFT_73025 | Zt73025	103.92	85.81	91.19	60.7
Zt73048	neuronal calcium sensor 1 | Zt73048	96.61	83.34	95.54	61.25
Zt73051	cop9 signalosome complex subunit 12 like | Zt73051	35.6	40.11	27.95	31.07
Zt73052	heme-dependent catalase | Zt73052	1431.68	1379.31	185.47	1067.36
Zt73061	phospholipid metabolism enzyme regulator like | Zt73061	42.07	21.75	39.85	60.42
Zt73064	26S proteasome non-ATPase regulatory subunit 3 | Zt73064	118.45	97.21	177.96	84.85
Zt73067	DASH subunit Spc34 | Zt73067	42.52	52.83	37.69	47.09
Zt73068	MFS general substrate transporter | Zt73068	5.07	9.12	4.49	8.02
Zt73071	mitogen-activated kinase | Zt73071	114.89	84.07	122.1	81.79
Zt73076	Diaminopimelate epimerase | Zt73076	51.22	45.5	27.01	39.61
Zt73080	flotillin domain-containing | Zt73080	60.86	58.84	20.66	29.63
Zt73095	glycoside hydrolase family 43 | Zt73095	61.54	36	19.17	26.13
Zt73105	hypothetical protein MYCGRDRAFT_73105 | Zt73105	5.37	6.5	13.27	13.18
Zt73109	hypothetical protein MYCGRDRAFT_73109 | Zt73109	71.7	48.98	57.9	84.08
Zt73114	5-oxoprolinase (ATP-hydrolysing) | Zt73114	36.88	32.7	46.68	32.98
Zt73123	major facilitator superfamily transporter | Zt73123	42.2	40.06	30.08	45.4
Zt73125	beta and beta-prime subunits of DNA dependent RNA-polymerase | Zt73125	29.04	25.75	24.64	28.77
Zt73131	Alcohol dehydrogenase zinc- partial | Zt73131	61.29	28.3	60	47.7
Zt73144	ammonium transporter | Zt73144	599.42	965.33	421.5	675.58
Zt73148	cell division cycle | Zt73148	89.42	90.25	76.78	72.25
Zt73150	NAD-dependent glutamate dehydrogenase | Zt73150	55.49	49.66	32.33	26.27
Zt73167	ATP binding | Zt73167	103.52	109.12	62.47	101.27
Zt73173	ARM repeat-containing | Zt73173	73.68	53.45	66.89	58.22
Zt73187	fes CIP4 domain-containing | Zt73187	38.18	45.03	41.81	43.56
Zt73189	fatty acid desaturase | Zt73189	77.79	68.82	87.44	72.16
Zt73191	nad dependent epimerase dehydratase family | Zt73191	115.55	79.18	35.92	130.68
Zt73202	Metallo-hydrolase oxidoreductase [Sphaerulina musiva SO2202] | Zt73202	916.6	842.41	390.36	520.37
Zt73205	ATP-dependent RNA helicase A [Sphaerulina musiva SO2202] | Zt73205	17.69	14.86	16.47	15.37
Zt73209	ARM repeat-containing | Zt73209	16.13	11.98	16.72	15.68
Zt73220	cytochrome b561 [Marssonina brunnea multigermtubi MB_m1] | Zt73220	157.15	103.68	168.23	105.98
Zt73230	P450 monooxygenase [Zymoseptoria tritici IPO323] | Zt73230	44.99	39.94	70.66	36.78
Zt73238	hypothetical protein MYCGRDRAFT_73238 [Zymoseptoria tritici IPO323] | Zt73238	42.54	90.64	101.47	119.64
Zt73269	amino acid transporter | Zt73269	6.68	11.94	7.64	36.98
Zt73271	cora-domain-containing [Sphaerulina musiva SO2202] | Zt73271	47.54	44.69	41.62	51.29
Zt73277	phosphoribosylaminoimidazole carboxylase [Sphaerulina musiva SO2202] | Zt73277	30.08	33.11	31.77	32.61
Zt73287	kinesin-domain-containing [Sphaerulina musiva SO2202] | Zt73287	7.69	15.62	7.04	17.79
Zt73298	hypothetical protein MYCGRDRAFT_73298 [Zymoseptoria tritici IPO323] | Zt73298	40.91	257.15	9.04	110.9
Zt73304	Kelch repeat [Talaromyces marneffei ATCC 18224] | Zt73304	99.23	96.69	77.45	77.24
Zt73306	TRP-domain-containing [Sphaerulina musiva SO2202] | Zt73306	38.45	20.29	90.74	22.6
Zt73308	Metallo-dependent phosphatase [Sphaerulina musiva SO2202] | Zt73308	26.71	23.22	26.64	25.21
Zt73310	ribosomal L10e [Sphaerulina musiva SO2202] | Zt73310	597.37	508.82	543.96	477.47
Zt73322	pre-mRNA branch site p14 [Sphaerulina musiva SO2202] | Zt73322	232.68	245.15	183.79	177.28
Zt73324	histidine kinase HHK2p [Zymoseptoria tritici IPO323] | Zt73324	13.9	8.38	19.66	17.77
Zt73331	succinyl- :3-ketoacid-coenzyme A transferase subunit B | Zt73331	58.38	59.07	33.4	36.34
Zt73335	Complex1_24kDa-domain-containing [Sphaerulina musiva SO2202] | Zt73335	271.09	267.19	243.23	248.78
Zt73347	Cu_amine_oxid-domain-containing [Sphaerulina musiva SO2202] | Zt73347	56.71	69.71	36.3	37.96
Zt73357	SPX-domain-containing [Sphaerulina musiva SO2202] | Zt73357	106.02	104.43	93.65	77.66
Zt73364	dihydrolipoamide dehydrogenase [Zymoseptoria tritici IPO323] | Zt73364	211.72	214.76	239.14	183.05
Zt73369	Transcriptional activator of ethanol catabolism | Zt73369	68.73	9.58	31.38	14.11
Zt73372	yippee family | Zt73372	134.87	318.42	136.95	296.01
Zt73377	domain [Aureobasidium namibiae CBS ] | Zt73377	15.77	21.61	33.29	18.35
Zt73380	Ribophorin I | Zt73380	150.65	128.25	144.57	114.33
Zt73382	DUF292-domain-containing [Sphaerulina musiva SO2202] | Zt73382	58.69	57.56	80.27	47.96
Zt73390	prohibitin-1 [Sphaerulina musiva SO2202] | Zt73390	195.54	179.71	193.49	137.73
Zt73399	60S ribosomal L44 [Leptosphaeria maculans JN3] | Zt73399	444.96	461.18	299.04	318.66
Zt73407	Altered inheritance of mitochondria 24 | Zt73407	57.99	48.21	44.65	49
Zt73408	acetyltransferase [Colletotrichum graminicola ] | Zt73408	41.02	43.05	83.41	33.88
Zt73424	partial [Aureobasidium namibiae CBS ] | Zt73424	86.27	100.25	82.2	83.15
Zt73426	decaprenyl-diphosphate synthase subunit 1 | Zt73426	60.96	63.58	52.7	50.42
Zt73435	Rho GTPase activation | Zt73435	34.6	52.76	41.27	64.53
Zt73447	transcription factor C2H2 like | Zt73447	47.3	66.88	67.77	95.86
Zt73448	hypothetical protein MYCGRDRAFT_73448 [Zymoseptoria tritici IPO323] | Zt73448	8.83	22.36	9.97	14.04
Zt73474	translation initiation factor eIF-2B subunit epsilon [Sphaerulina musiva SO2202] | Zt73474	35.48	30.9	35.25	29.81
Zt73475	RING finger [Sphaerulina musiva SO2202] | Zt73475	69.28	55.64	116.34	66.69
Zt73479	NGG1p interacting factor 3 | Zt73479	37.44	20.46	34.39	21.17
Zt73484	RNA recognition domain-containing | Zt73484	30.35	34.47	36.06	28.94
Zt73494	oxidoreductase ucpA [Sphaerulina musiva SO2202] | Zt73494	52.71	50.42	43.28	46.88
Zt73498	U3 small nucleolar ribonucleo IMP3 [Marssonina brunnea multigermtubi MB_m1] | Zt73498	77.44	65.17	81.64	71.74
Zt73499	dimethyladenosine transferase [Trichophyton rubrum CBS ] | Zt73499	51.4	33.63	29.62	33.15
Zt73506	dolichyl-diphosphooligosaccharide- glycotransferase [Zymoseptoria tritici IPO323] | Zt73506	77.28	74.31	86.19	77.74
Zt73508	glutaryl- dehydrogenase | Zt73508	107.86	98.14	96.76	85.5
Zt73513	uroporphyrinogen-III synthase | Zt73513	13.67	14.7	27.13	22.38
Zt73517	Magnesium transport transmembrane region [Glarea lozoyensis ATCC 20868] | Zt73517	28.91	29.37	18.74	26.26
Zt73528	LACT-domain-containing [Sphaerulina musiva SO2202] | Zt73528	56.32	53.1	54.46	50.48
Zt73531	SCF ubiquitin ligase subunit [Sphaerulina musiva SO2202] | Zt73531	29.64	27.55	38.14	31.8
Zt73536	endosomal integral membrane [Neofusicoccum parvum UCRNP2] | Zt73536	23.17	21.95	95.42	30.78
Zt73544	WD40 repeat | Zt73544	93.49	88.33	61.5	79.94
Zt73547	oligosaccharide translocation RFT1 | Zt73547	15.93	14.67	12.7	14.09
Zt73550	sec23 sec24 family | Zt73550	60.51	52.67	62.22	51.4
Zt73558	ATP-dependent RNA helicase DBP3 | Zt73558	24.3	21.59	13.89	25.54
Zt73568	hypothetical protein MYCGRDRAFT_73568 [Zymoseptoria tritici IPO323] | Zt73568	15.91	17.73	21.48	20.87
Zt73576	U3 small nucleolar RNA associated | Zt73576	82.96	80.37	71.17	66.56
Zt73579	PCI-domain-containing [Sphaerulina musiva SO2202] | Zt73579	127.13	105.27	209.39	84.95
Zt73582	iron sulfur cluster assembly 1 | Zt73582	318.09	209.99	237.15	207.93
Zt73589	hexose carrier [Sphaerulina musiva SO2202] | Zt73589	38.83	41.16	28.6	31.39
Zt73598	PRP3-domain-containing [Sphaerulina musiva SO2202] | Zt73598	53.95	45.4	62.28	44.13
Zt73600	nf-x1 finger transcription factor like | Zt73600	10.63	7.61	8.75	13.94
Zt73604	peptidyl-prolyl cis-trans isomerase | Zt73604	17.55	18.44	18.46	18.32
Zt73616	pyruvate carboxylase | Zt73616	211.61	198.83	152.55	187.29
Zt73620	unknown | Zt73620	68.04	64.93	109.92	92.8
Zt73621	L-asparaginase | Zt73621	12.94	25.86	7.66	13.18
Zt73624	phosphoribosylglycinamide formyltransferase | Zt73624	37.37	33.16	28.09	37.52
Zt73635	indoleamine 2,3-dioxygenase family | Zt73635	5.64	9.09	3.67	9.38
Zt73649	mRNA splicing (Prp39) | Zt73649	55.45	58.28	63.56	50.37
Zt73661	acyl- thioesterase II | Zt73661	40.72	54.41	49.42	20.68
Zt73671	transcriptional regulatory pro-1 | Zt73671	14.67	41.2	14.66	70.1
Zt73676	Golgi apparatus and endoplasmic reticulum Svp26 | Zt73676	101.96	106.8	162.56	93.5
Zt73683	phospho-2-dehydro-3-deoxyheptonate aldolase | Zt73683	182.75	106.51	120.66	115.49
Zt73692	meiotically up-regulated 190 | Zt73692	28.41	28.83	41.76	31.28
Zt73708	nucleoside-diphosphate-sugar epimerase like | Zt73708	67.37	69.34	30.64	94.97
Zt73714	small nucleolar ribonucleo complex subunit | Zt73714	32.32	33.92	31.77	36.61
Zt73716	ULK ULK kinase | Zt73716	76.24	94.35	118.92	99.63
Zt73721	mitochondrial presequence protease | Zt73721	32.61	30.46	36.35	35.68
Zt73725	P-loop containing nucleoside triphosphate hydrolase | Zt73725	35.91	25.83	176.84	29.38
Zt73729	proteasome subunit alpha type-3 | Zt73729	148.51	150.19	235.96	135.12
Zt73735	STE24 endopeptidase [Blastomyces dermatitidis ER-3] | Zt73735	18.09	30.85	72.63	18.87
Zt73738	phosphatidate cytidylyltransferase like | Zt73738	59.37	46.29	102.15	49.64
Zt73745	WD40 repeat | Zt73745	27.4	24.83	30.63	35.57
Zt73757	general substrate transporter | Zt73757	4.38	5.12	2.5	3.22
Zt73758	g-patch rna maturation | Zt73758	47.88	41	36.77	36.03
Zt73769	cyclin-domain-containing | Zt73769	109.49	130.32	111.57	134.97
Zt73771	proteasome component Pre3 | Zt73771	175.16	164.83	262.52	129.58
Zt73778	6,7-dimethyl-8-ribityllumazine synthase | Zt73778	105.93	107.7	157.34	84.96
Zt73782	major facilitator superfamily transporter | Zt73782	3.94	9.01	2.88	5.2
Zt73800	histidine kinase | Zt73800	141.35	88.63	122.71	67
Zt73804	ph response | Zt73804	51.98	54.48	53.45	48.1
Zt73812	farnesyltransferase alpha subunit | Zt73812	44.36	70.32	47.27	58.35
Zt73816	mevalonate kinase | Zt73816	76.3	78.5	59.85	79.19
Zt73819	amidase | Zt73819	13.53	16.85	10.98	13.07
Zt73824	NADH dehydrogenase | Zt73824	31.57	38.42	39.2	26.69
Zt73826	hypothetical protein MYCGRDRAFT_73826 | Zt73826	39.02	39.04	32.23	42.2
Zt73832	5-methylcytosine g t mismatch-specific dna | Zt73832	29.53	28.34	32.52	29.93
Zt73835	SFK1-like membrane | Zt73835	86.25	43.99	66.77	117.54
Zt73841	pre-rRNA-processing pno1 | Zt73841	95.32	79.39	72.41	76.29
Zt73846	mitochondrial inner membrane Mdm31 | Zt73846	67.49	59.62	57.69	69.45
Zt73850	ubx domain-containing | Zt73850	85.71	69.17	113.82	61.07
Zt73860	ATP phosphoribosyltransferase | Zt73860	105.07	92.84	87.87	68.31
Zt73868	adenine nucleotide alpha hydrolases | Zt73868	31.02	27.28	26.51	26.47
Zt73873	glycoside hydrolase family 79 | Zt73873	3.64	4.62	3.72	3.56
Zt73897	eukaryotic translation initiation factor subunit eIF2B-gamma | Zt73897	39.08	32.79	35.01	32.72
Zt73903	mitochondrial import Pam17 [Aureobasidium namibiae CBS ] | Zt73903	106.47	88.98	107.45	73.28
Zt73913	WD40 repeat | Zt73913	88.4	94.5	64.14	88.86
Zt73914	P450 monooxygenase | Zt73914	24.84	35.5	20.77	29.34
Zt73923	mitochondrial 37s ribosomal sws2 | Zt73923	101	117	111.86	84.03
Zt73926	aminopeptidase 2 | Zt73926	127.72	94.39	142	93.88
Zt73931	thioesterase family | Zt73931	59.67	40.79	18.66	49.65
Zt73948	microtubule associated (Ytm1) | Zt73948	28.8	23.21	26.4	27.4
Zt73955	methylthioribose-1-phosphate isomerase | Zt73955	137.37	156.4	116.43	143.27
Zt73969	branched-chain amino acid aminotransferase | Zt73969	69.6	65.03	34.66	62.47
Zt73972	S-adenosyl-L-methionine-dependent methyltransferase | Zt73972	99.46	115.22	66.85	83.38
Zt73985	acetyl- synthetase | Zt73985	99.21	90.09	56.27	81.69
Zt73993	catechol O-methyltransferase | Zt73993	110.25	80.86	92.58	121.72
Zt74004	alpha beta-hydrolase | Zt74004	109.07	67.97	77.29	73.42
Zt74012	bax Inhibitor family | Zt74012	146.49	109.21	186.59	133.93
Zt74015	DNA replication licensing factor CDC47 | Zt74015	39.97	42.24	36.23	33.17
Zt74016	MFS general substrate transporter | Zt74016	45.01	49.88	46.18	42.76
Zt74026	3-carboxy-cis,cis-mucoante lactonizing enzyme | Zt74026	23.87	22.62	16.49	16.84
Zt74029	methyltransferase type 11 | Zt74029	30.72	20.15	18.51	24.68
Zt74038	Sm-like ribonucleo | Zt74038	82.14	80.4	74.39	62.46
Zt74043	ornithine aminotransferase | Zt74043	107.26	112.82	128.26	95.34
Zt74048	eukaryotic translation initiation factor 3 subunit B | Zt74048	132.33	106.84	149.17	120.57
Zt74052	adenosine deaminase | Zt74052	21.43	26.8	26.83	17.53
Zt74061	chromosome condensation complex subunit H | Zt74061	9.88	19.09	12.07	26.71
Zt74064	glycosyltransferase family 25 | Zt74064	15.4	21.53	37.71	18.08
Zt74077	Neurolysin Thimet N-terminal | Zt74077	45.96	47.61	37.13	38
Zt74078	esterase lipase | Zt74078	137.67	76.36	22.6	34.21
Zt74083	PLP-dependent transferase | Zt74083	26.88	23.27	25.55	21.68
Zt74087	AAA family ATPase | Zt74087	33.75	31.43	44.81	32.56
Zt74088	lanosterol 14-alpha-demethylase | Zt74088	104.8	104.59	137.76	95.04
Zt74092	histidinol-phosphatase (PHP family) | Zt74092	48.14	66.06	44.63	52.83
Zt74097	type-2 geranylgeranyltransferase subunit beta | Zt74097	85.15	110.45	78.21	78.87
Zt74100	Rho GTPase activator (Bem2) | Zt74100	45.36	55.41	60.2	53.09
Zt74103	acyl- dehydrogenase like | Zt74103	57.02	48.22	43.84	47.76
Zt74109	Zinc-type alcohol dehydrogenase | Zt74109	14.44	6.36	20.68	39.95
Zt74111	trihydroxytoluene oxygenase | Zt74111	31.73	30.19	26.62	25.46
Zt74113	fumarylacetoacetate hydrolase family | Zt74113	14.62	21.02	16.29	22.14
Zt74118	glycosyltransferase family 25 | Zt74118	5.23	5.7	1.47	4.66
Zt74120	t-complex 1 subunit beta | Zt74120	89.59	69.74	110.41	74.13
Zt74131	ARM repeat-containing | Zt74131	17.62	13.94	21.2	14.66
Zt74143	hypothetical protein MYCGRDRAFT_74143 | Zt74143	18.61	61.09	28.9	73.34
Zt74145	haloacid dehalogenase-like hydrolase | Zt74145	29.84	27.96	26.59	26.9
Zt74146	mitochondrial succinate dehydrogenase subunit B | Zt74146	366.63	250.56	239.18	236.26
Zt74151	ARF GTPase activator | Zt74151	27.69	27.49	33.51	31.25
Zt74152	EXS family | Zt74152	242.43	260.59	163.31	181.74
Zt74155	short-chain dehydrogenase reductase sdr | Zt74155	32.36	14.81	17.12	30.86
Zt74159	actin cytoskeleton-regulatory complex pan1 | Zt74159	45.01	33.27	64.26	44.88
Zt74162	S-adenosyl-L-methionine-dependent methyltransferase | Zt74162	123.12	113.46	85.39	87.76
Zt74163	LSM domain-containing | Zt74163	76.33	83.88	74.85	64.96
Zt74168	proteasome endopeptidase beta subunit | Zt74168	181.02	160.68	438.45	136.08
Zt74169	rho guanyl nucleotide exchange factor | Zt74169	121.79	156.49	59.53	95.8
Zt74170	glutamine-dependent NAD(+) synthetase | Zt74170	45.47	41.76	64.69	34.88
Zt74173	FAD NAD(P)-binding domain-containing | Zt74173	138.91	90.54	124.99	133.66
Zt74181	2-nitropropane dioxygenase | Zt74181	78.08	81.6	40.88	83.18
Zt74191	glycoside hydrolase family 32 | Zt74191	39.98	38.11	47.59	45.3
Zt74194	ww domain containing | Zt74194	26.09	48.79	44.78	39.06
Zt74200	MFS sugar transporter | Zt74200	2656.8	4668.07	191.85	1588.72
Zt74201	WD40 repeat | Zt74201	79.41	71.72	66.03	57.59
Zt74207	hypothetical protein MYCGRDRAFT_74207 | Zt74207	81.15	63.61	70.13	72.58
Zt74210	prenyl protease | Zt74210	79.34	61.98	65.04	74.1
Zt74214	DNase I | Zt74214	28.03	19.32	36.81	22.85
Zt74217	heme-thiolate peroxidase aromatic peroxygenase like | Zt74217	826.62	357.95	410.15	527.23
Zt74222	glycogen debranching enzyme | Zt74222	63.25	58.31	67.2	45.59
Zt74228	FAD NAD(P)-binding domain-containing | Zt74228	49.48	45.34	35.64	43.5
Zt74230	MYND finger | Zt74230	7.95	6.86	8.64	8.08
Zt74232	Metallo-dependent phosphatase | Zt74232	29.34	36.04	52.46	29.66
Zt74248	hypothetical protein MYCGRDRAFT_74254, partial | Zt74248	307.88	355.41	423.54	2563.83
Zt74252	plant senescence-associated | Zt74252	229.45	284.31	316.96	1897.24
Zt74254	hypothetical protein MYCGRDRAFT_74254, partial | Zt74254	322.66	346.18	424.55	2566.77
Zt74261	Maltose permease | Zt74261	5.35	2.4	0.59	16.22
Zt74263	aquaporin | Zt74263	10.98	4.6	3.74	26.85
Zt74280	prolyl 4-hydroxylase | Zt74280	31.98	21.12	43.62	25.36
Zt74291	S-(hydroxymethyl)glutathione dehydrogenase | Zt74291	182.21	115.76	40.69	134.57
Zt74298	Aromatic peroxygenase | Zt74298	1594.26	32.75	199.1	89.48
Zt74317	UBA TS-N domain-containing | Zt74317	48.76	41.39	54.22	39.59
Zt74323	hypothetical protein MYCGRDRAFT_74323 [Zymoseptoria tritici IPO323] | Zt74323	47.46	47.2	337.99	50.69
Zt74327	major facilitator superfamily transporter [Zymoseptoria tritici IPO323] | Zt74327	20.42	16.52	19.85	20.23
Zt74334	CYP-42 P450 monooxygenase [Zymoseptoria tritici IPO323] | Zt74334	30.17	19.26	15.91	25.58
Zt74336	secreted peptidase S10 [Zymoseptoria tritici IPO323] | Zt74336	12.71	9.95	5.91	9.9
Zt74342	secondary thiamine-phosphate synthase enzyme [Cyphellophora europaea CBS 101466] | Zt74342	81.79	69.35	96.52	96.45
Zt74344	D-lactate dehydrogenase 2 mitochondrial precursor [Sphaerulina musiva SO2202] | Zt74344	52.02	36.39	42.74	35.92
Zt74348	N-terminal nucleophile aminohydrolase [Sphaerulina musiva SO2202] | Zt74348	175.5	157.04	322.14	144.49
Zt74352	PLU-1-domain-containing partial [Sphaerulina musiva SO2202] | Zt74352	17.96	16.78	18.64	20.13
Zt74353	hypothetical protein MYCGRDRAFT_74353 [Zymoseptoria tritici IPO323] | Zt74353	118.88	106.43	96.43	122.6
Zt74360	NOL1 NOP2 sun family RNA met | Zt74360	50.74	43.98	33.77	44.18
Zt74362	SUR1 [Zymoseptoria tritici IPO323] | Zt74362	65.28	82.29	73.81	71.31
Zt74367	initiator tRNA phosphoribosyl transferase [Sphaerulina musiva SO2202] | Zt74367	76.54	96.82	63.6	77.43
Zt74369	translocation sec72 [Neofusicoccum parvum UCRNP2] | Zt74369	151	143.3	192.76	119.32
Zt74372	duf89 domain-containing | Zt74372	82.97	67.96	76.3	61.55
Zt74379	F-box domain-containing | Zt74379	48.29	56.93	80.6	56.05
Zt74399	FAD binding domain containing [Coccidioides posadasii C735 delta SOWgp] | Zt74399	49.74	47.85	27.1	39.79
Zt74412	exocyst complex subunit Sec15 | Zt74412	63	51.48	57.15	52.01
Zt74418	60S ribosomal L28 [Sphaerulina musiva SO2202] | Zt74418	304.73	283.25	280.08	289.3
Zt74422	DUF1649-domain-containing [Xylona heveae TC161] | Zt74422	72.49	97.05	85.38	107.66
Zt74423	sucrose transport | Zt74423	37.79	39.72	32.93	37.19
Zt74429	60S ribosomal L33-A [Trichophyton rubrum CBS ] | Zt74429	249.81	231.33	292.34	214.13
Zt74444	glucose-inhibited division A subfamily | Zt74444	37.99	34.45	33.12	33.48
Zt74453	Beta- GH16 family | Zt74453	14.41	85.82	3.94	5.31
Zt74458	cysteinyl-tRNA synthetase [Sphaerulina musiva SO2202] | Zt74458	45.93	35.35	68.14	27.51
Zt74460	ribosomal L1 | Zt74460	31.82	32.23	29.67	27.44
Zt74463	NADH pyrophosphatase [Alternaria alternata] | Zt74463	89.71	65.04	103.79	65.39
Zt74465	acyltransferase-domain-containing [Sphaerulina musiva SO2202] | Zt74465	75.62	81.6	87.5	109.68
Zt74468	ATP-NAD kinase | Zt74468	28.42	33.11	21.78	31.08
Zt74471	amino-acid permease inda1 | Zt74471	581.81	750.4	64.03	656.27
Zt74485	mitochondrial carrier [Aureobasidium namibiae CBS ] | Zt74485	64.78	38.83	59.6	53.39
Zt74506	C-5 sterol desaturase [Zymoseptoria tritici IPO323] | Zt74506	42.85	81.73	37.22	87.13
Zt74510	hypothetical protein MYCGRDRAFT_74510 [Zymoseptoria tritici IPO323] | Zt74510	141.47	155.54	175.81	125.33
Zt74522	splicing factor 3a subunit 3 like | Zt74522	49.96	46.61	46.4	45.13
Zt74526	eukaryotic initiation factor 4A-12 | Zt74526	61.84	72.11	51.2	68.31
Zt74536	glutathione synthetase large chain [Sphaerulina musiva SO2202] | Zt74536	27.02	24.48	23.44	25.07
Zt74541	Sec8 exocyst complex component [Zymoseptoria tritici IPO323] | Zt74541	44.57	38.88	42.37	39.45
Zt74546	[Uncinocarpus reesii 1704] | Zt74546	39.03	42.33	35.86	37.57
Zt74552	S-adenosyl-L-methionine-dependent methyltransferase [Trichophyton rubrum] | Zt74552	36.92	35.64	30.14	36.17
Zt74555	zf-Tim10_DDP-domain-containing [Sphaerulina musiva SO2202] | Zt74555	164.97	202.51	182.47	135.64
Zt74561	acetamidase [Sphaerulina musiva SO2202] | Zt74561	16.71	25.21	16.71	24.42
Zt74566	sodium transport ATPase | Zt74566	209.14	216.58	21.93	173.08
Zt74569	cobw domain-containing | Zt74569	18.15	16.33	13.38	21.32
Zt74581	mitochondrial succinate dehydrogenase subunit C [Zymoseptoria tritici] | Zt74581	272.75	290.55	195.7	241.09
Zt74587	ubiquitin fusion degradation Ufd1 | Zt74587	39.64	30.9	59.15	35.93
Zt74592	mboat family | Zt74592	43.58	36.32	32.48	68.79
Zt74593	histone H3 [Zymoseptoria tritici IPO323] | Zt74593	41.25	45.34	24.97	42.88
Zt74597	ER-associated proteolytic system Der1 [Sphaerulina musiva SO2202] | Zt74597	40.29	36.98	72.34	53.56
Zt74599	sorbitol utilization sou2 [Neofusicoccum parvum UCRNP2] | Zt74599	104.41	59.87	87.08	77.05
Zt74623	glycoside hydrolase family 31 | Zt74623	58.96	49.08	53.28	51.97
Zt74633	hob3 [Purpureocillium lilacinum] | Zt74633	53.97	63.06	55.95	48.12
Zt74641	synaptic vesicle transporter | Zt74641	13.25	12.93	5.58	13.92
Zt74645	Adenylosuccinate synthetase | Zt74645	245.81	204.48	151.7	152.11
Zt74650	DNA damage tolerance rad31 [Aureobasidium namibiae CBS ] | Zt74650	33.81	29.42	28.51	27.63
Zt74659	mitochondrial ribosomal | Zt74659	47.47	41.57	38.44	38.53
Zt74660	glycosyltransferase family 3 | Zt74660	97.8	99.22	68.17	112.38
Zt74664	acetoacetate- ligase | Zt74664	38.13	30.98	22.44	29.43
Zt74666	cleavage and polyadenylation specificity 25 kDa subunit | Zt74666	51.33	62.29	49.82	38.58
Zt74671	pre-mRNA-processing 45 | Zt74671	59.27	57.22	53.19	57
Zt74675	5 -3 exoribonuclease | Zt74675	45.33	49.23	44.47	43.65
Zt74677	5 -3 exoribonuclease 1 | Zt74677	41.74	34.08	40.11	35.21
Zt74684	cyclopropane-fatty-acyl-phospholipid synthase | Zt74684	54.05	26.02	105.26	42.25
Zt74688	acyl- dehydrogenase NM domain | Zt74688	142.31	136.4	81.7	149.63
Zt74690	MFS quinate transporter | Zt74690	4.83	9.75	6.76	6.86
Zt74695	Low temperature viability | Zt74695	48.41	45.92	57.98	54.24
Zt74700	ribosome biogenesis gtpase lsg1 | Zt74700	65.85	40.68	57.78	56.66
Zt74707	PIG-X-domain-containing [Aureobasidium namibiae CBS ] | Zt74707	28.83	21.25	27.69	20.51
Zt74711	alpha-1,2-mannosidase | Zt74711	6.76	7.74	7.24	10.09
Zt74715	centromere microtubule-binding cbf5 | Zt74715	201.83	185.53	114.84	194.38
Zt74724	DNase I | Zt74724	66.7	52.75	71.25	61.69
Zt74730	alpha subunit of succinyl- ligase | Zt74730	350.82	368.64	322.32	304.2
Zt74750	60S ribosomal L2 | Zt74750	823.9	710.85	625.5	671.31
Zt74752	multidrug resistance | Zt74752	24.99	23.05	104.17	33.35
Zt74759	carbon-nitrogen hydrolase | Zt74759	48.58	47.05	54.52	40.83
Zt74764	2-dehydropantoate 2-reductase | Zt74764	48.06	46.27	52.37	46.37
Zt74768	cfem domain-containing | Zt74768	12.3	10.07	11	10.12
Zt74783	Golgi GDP-mannose transporter | Zt74783	119.37	122.31	111.58	130.31
Zt74796	STE STE20 YSK kinase | Zt74796	17.95	19.94	23.63	20.8
Zt74800	translation initiation factor eIF4E3 | Zt74800	51.41	52.88	54.4	46.36
Zt74808	DNase I | Zt74808	31.63	29.96	41.59	24.02
Zt74826	vacuolar amino acid transporter 1 [Aureobasidium namibiae CBS ] | Zt74826	70.73	83.19	49.73	72.99
Zt74836	DUF410-domain-containing | Zt74836	79.68	63.99	101.93	78.94
Zt74837	Ca2+ calmodulin-dependent partial | Zt74837	77.8	82.56	63.83	69.73
Zt74842	2Fe-2S iron-sulfur cluster binding domain | Zt74842	71.35	81.77	61.59	69.27
Zt74848	isoflavone reductase family ( ) | Zt74848	58.18	58.6	69.8	43.6
Zt74856	hypothetical protein MYCGRDRAFT_74856 | Zt74856	21.98	21.89	26.8	25.71
Zt74861	hypothetical protein MYCGRDRAFT_74861 | Zt74861	168.31	27.58	66.2	53.16
Zt74864	phosphoribosylformylglycinamidine cyclo-ligase | Zt74864	51.19	48.11	40.3	44.76
Zt74868	hypothetical protein MYCGRDRAFT_74868 | Zt74868	39.82	34.36	24.92	35.84
Zt74892	erp ER transport | Zt74892	91.09	95.75	92.5	77.04
Zt74909	ubiquitin conjugating enzyme | Zt74909	125.64	115.13	106.6	99.87
Zt74910	DHH phosphoesterase | Zt74910	54.83	38.56	42.92	38.34
Zt74913	50S ribosomal subunit L7 | Zt74913	103.97	100.41	73.19	80.84
Zt74920	LCCL domain-containing | Zt74920	65.18	61.98	84.47	56.14
Zt74929	DUF803-domain-containing partial | Zt74929	49.52	46.64	48.82	55.74
Zt74939	general alpha-glucoside permease like | Zt74939	63.09	58.44	73.37	77.15
Zt74955	tryptophanyl-tRNA synthetase | Zt74955	70.1	72.49	57.41	67.44
